family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
qaoa_like,1380,55.46589131002851,3.6234490252378233,0.0401926748623395,0.1104,0.16894180852255403,0.2044959875886163
trotter_ising,1378,49.996574148981104,3.2338156055015324,0.0362819841429471,0.11024,0.15228298792583667,0.18250631134050818
entanglement_heavy,1256,48.36607517250084,3.0236557648488254,0.038508021634156724,0.10048,0.14731670253179047,0.17064555550638388
decoherence_sensitive,1172,36.537124898745205,2.1650992378125995,0.031175021244663145,0.09376,0.11128727606857024,0.12219134415304436
measurement_sensitive,1070,28.935065649728763,1.5513898117304956,0.02704211742965305,0.0856,0.08813240362911413,0.08755552775133148
mixed_random,781,26.244868391638356,1.5238206705014725,0.03360418488045884,0.06248,0.07993841667010468,0.08599961273132396
clean_control,635,17.939529846635306,0.8946791088314184,0.02825122810493749,0.0508,0.054641448009813784,0.05049285547031413
routing_sensitive,1218,23.638905273263497,0.7627172462317217,0.019407968204649833,0.09744,0.07200099581986545,0.043045345865956694
mirror_circuit,1111,15.694869660451582,0.46916111494046925,0.014126795373943818,0.08888,0.0478045083624762,0.026477967502697382
qft_lite,1142,11.674672921768028,0.23723508347763453,0.010223006061092844,0.09136,0.035559517943889445,0.013388796792371748
ghz_cat,1357,13.820010671682745,0.23390212723506773,0.010184237783111824,0.10856,0.04209393451598496,0.013200695297451834
