feature,importance_mean,importance_std
mean_interaction_degree,0.28563528803624905,0.002245678493640967
unique_two_qubit_edge_count,0.1768393593885476,0.00189078100782425
original_num_single_qubit_gates,0.16832406897882002,0.0020785743813929863
original_mean_qubit_gate_count,0.12726253028472567,0.001419509233824033
original_mean_interaction_degree,0.11490235190058479,0.0013554524524676931
original_mean_qubit_two_qubit_gate_count,0.11289937538384291,0.0021454220950475437
num_cz,0.08419572856240361,0.0010336745299708856
original_unique_two_qubit_edge_count,0.08309032773419689,0.0015779181290800047
max_qubit_two_qubit_gate_count,0.08021702270240633,0.0007621284800934404
original_num_cz,0.07887658911083466,0.0009850909473208193
interaction_graph_density,0.06976686170372709,0.0010221569981490822
circuit_depth,0.05126603239599477,0.0007906863534260224
num_single_qubit_gates,0.045629082193576115,0.0007706962676446172
num_cx,0.02803363729930549,0.000428029563790998
long_range_interaction_score,0.02313347923331465,0.00035676542487219883
original_max_qubit_gate_count,0.02227190579218229,0.00043219567240991477
original_circuit_depth,0.017018577110345108,0.0002877336037056261
original_max_interaction_degree,0.01662017968815537,0.000572997635207934
original_num_cx,0.011132940521085584,0.0004426792180599924
original_entanglement_density,0.00860324807852295,0.0004069485574338854
active_qubit_fraction,0.008419971305653695,0.0003045341246793423
measurement_count,0.007826404207219782,0.0001904814001413685
qubit_count,0.00782640418617531,0.0001904813997186892
mean_qubit_two_qubit_gate_count,0.007255028644532776,0.00024048703839657948
readout_error,0.006317332605915936,0.00021647988099045423
original_interaction_graph_density,0.00584613890384744,0.0002083319402666374
original_max_qubit_two_qubit_gate_count,0.0051745547515222815,0.00016409923602161882
entanglement_density,0.003392668606734494,0.0001608435831200701
original_long_range_interaction_score,0.002865168927607433,7.73095705426627e-05
max_qubit_gate_count,0.002690016056246268,0.00016248706178993477
compiler_variant,0.0009651638629964536,0.00029106378039111164
original_active_qubit_fraction,0.0007549900259513995,6.480346652003438e-05
two_qubit_gate_error,0.0006216223977156474,6.293871465763572e-05
max_interaction_degree,0.0001679846432068189,2.6478159032923386e-05
t1_mean,0.0001379364519288849,2.787381674688184e-05
t2_mean,0.00012548387245524782,2.0461490747822854e-05
mean_qubit_gate_count,6.774481440827845e-05,8.503250304053498e-05
single_qubit_gate_error,5.588474801052068e-05,1.9795176206034484e-05
