feature,mean_abs_shap
mean_interaction_degree,0.24995934476137077
unique_two_qubit_edge_count,0.1712954650655721
original_num_single_qubit_gates,0.16119916508326207
original_mean_qubit_gate_count,0.13127549954365464
original_mean_qubit_two_qubit_gate_count,0.12102048574267882
original_mean_interaction_degree,0.11976364477220891
original_unique_two_qubit_edge_count,0.09919446550461399
max_qubit_two_qubit_gate_count,0.0970312537520985
num_cz,0.09040087952709557
original_num_cz,0.08847310855295966
interaction_graph_density,0.08253475143810032
num_single_qubit_gates,0.06541738128171812
circuit_depth,0.06245032908444419
num_cx,0.04501065034294395
long_range_interaction_score,0.04138143068180923
original_max_qubit_gate_count,0.037376198520349006
original_max_interaction_degree,0.03726922978564522
original_circuit_depth,0.03612996632355738
original_num_cx,0.028366175821728942
measurement_count,0.02298044380951695
qubit_count,0.02298044377752891
original_entanglement_density,0.022609688364316753
original_max_qubit_two_qubit_gate_count,0.02147890686456088
original_interaction_graph_density,0.02134876332799453
readout_error,0.019745673644353777
mean_qubit_two_qubit_gate_count,0.018728721680594113
compiler_variant,0.016924056138957342
active_qubit_fraction,0.016000686494935183
max_qubit_gate_count,0.014782676445822865
entanglement_density,0.013225582669594957
original_long_range_interaction_score,0.011144563691064665
mean_qubit_gate_count,0.006113415427518781
two_qubit_gate_error,0.0059812625225291105
original_active_qubit_fraction,0.0034488944038806105
max_interaction_degree,0.0028409009580042453
t1_mean,0.00259262481185375
t2_mean,0.0022088752425823326
single_qubit_gate_error,0.0015070797728906505
