family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
decoherence_sensitive,2344,454.1907291796875,143.58651586625902,0.19376737592990081,0.09376,0.1282194637067143,0.16810491008911665
qft_lite,2284,449.559241171875,141.46195220590786,0.19682979035546191,0.09136,0.12691198015327776,0.16561756243709483
measurement_sensitive,2140,396.789458203125,121.4549165073688,0.18541563467435745,0.0856,0.11201490533981098,0.1421941865235423
qaoa_like,2760,462.7394952734375,117.98934704760866,0.16765923741791214,0.1104,0.1306328071183565,0.13813684702389736
entanglement_heavy,2512,410.6950915625,99.73152441056087,0.16349326893411625,0.10048,0.1159405091385972,0.11676137444343074
mixed_random,1562,272.7174676171875,76.33966617416921,0.1745950496909011,0.06248,0.07698899425905069,0.08937519404952357
trotter_ising,2756,312.446976328125,50.250552124894654,0.11336973016259978,0.11024,0.08820475885523273,0.05883118269094311
clean_control,1270,189.1678662109375,37.9277346189721,0.14895107575664368,0.0508,0.05340268041119372,0.044404158562805704
mirror_circuit,2222,223.4499759765625,27.847126659780304,0.10056254544399754,0.08888,0.06308062724384285,0.032602216824752984
ghz_cat,2714,216.83375597656251,23.528953717323375,0.07989453057353077,0.10856,0.06121284764011161,0.02754668587979218
routing_sensitive,2436,153.7015419921875,14.029967194226137,0.06309587109695709,0.09744,0.04339042613381171,0.016425681475100543
