feature,mean_abs_shap
measurement_count,0.048241703747216376
qubit_count,0.040998515696384887
original_num_single_qubit_gates,0.025332960876005495
long_range_interaction_score,0.019495129113600743
compiler_variant,0.01772853034231459
readout_error,0.015761963953695796
original_max_qubit_two_qubit_gate_count,0.01269469972579352
original_entanglement_density,0.012220335292181443
entanglement_density,0.01171367805224569
coupling_path_length,0.009752140175361381
original_long_range_interaction_score,0.008881537752860469
num_single_qubit_gates,0.0057989662449747514
mean_qubit_two_qubit_gate_count,0.00551404160076982
t1_mean,0.004565590680490709
original_mean_qubit_gate_count,0.004088954875298325
t2_mean,0.003959697319142385
circuit_depth,0.0037502580058073457
mean_qubit_gate_count,0.0024742485102754556
original_num_cx,0.0022033211805208576
original_unique_two_qubit_edge_count,0.0021977684997153157
max_qubit_two_qubit_gate_count,0.002133127870842903
local_readout_error_max,0.0018950729580223147
local_readout_error_mean,0.001806645696628567
num_cx,0.0017496981110959628
two_qubit_gate_error,0.0016790348485199397
original_mean_interaction_degree,0.001640890072935142
max_qubit_gate_count,0.0016065557781825854
original_num_cz,0.0015807063448582078
num_cz,0.0013173471518021745
interaction_graph_density,0.0011314180268456296
original_max_qubit_gate_count,0.0010951153533224748
original_circuit_depth,0.0010805480955062548
original_interaction_graph_density,0.0010763732057499445
unique_two_qubit_edge_count,0.0010394639394201574
local_t2_mean,0.0010114210719813152
local_t1_mean,0.0008988017313981455
max_interaction_degree,0.0007193829589175568
original_mean_qubit_two_qubit_gate_count,0.000542962704141691
mean_interaction_degree,0.0005258939432462521
single_qubit_gate_error,0.0004728503771023413
local_two_qubit_error_max,0.0003133046298523095
local_two_qubit_error_mean,0.0003068893000224897
original_max_interaction_degree,0.00016772848403955038
active_qubit_fraction,8.25728495171565e-05
original_active_qubit_fraction,7.594884765156228e-05
