feature,importance_mean,importance_std
qubit_count,0.03962205677016228,0.00028659881441686115
original_num_single_qubit_gates,0.0354804971130554,0.0005616160037397144
original_entanglement_density,0.0331539312557685,0.00041899023170559227
measurement_count,0.03172866344639179,0.00026608466918450255
long_range_interaction_score,0.02981438814283894,0.0012310416133162454
num_single_qubit_gates,0.021170864271916168,0.0004830738165876082
original_long_range_interaction_score,0.019803173835751177,0.0008449877111792897
entanglement_density,0.018566425389727668,0.0004695015520921507
readout_error,0.015558688850329494,0.0004020877221203911
original_mean_qubit_gate_count,0.0128315645567662,0.00039437664627569013
original_max_qubit_two_qubit_gate_count,0.007790662894262783,0.0003296645053906848
mean_qubit_gate_count,0.00775966252836925,0.00028463040068402
circuit_depth,0.004786227587178581,0.00027733805358354154
original_num_cz,0.004327475701998124,0.00010832730638356023
mean_qubit_two_qubit_gate_count,0.004127850815167227,0.00018776111865302165
num_cx,0.004010293581334231,0.00023772281551345773
original_num_cx,0.0033546857842606985,9.009228590973392e-05
max_qubit_two_qubit_gate_count,0.002747808345032919,0.00017897770687966107
original_unique_two_qubit_edge_count,0.002190029589876943,0.0001688722665834029
two_qubit_gate_error,0.0021776409943819316,0.00010693197607072857
original_circuit_depth,0.001892672634587228,9.829054357499115e-05
max_qubit_gate_count,0.001874090430254896,9.971022887610212e-05
t2_mean,0.0014886193696934773,7.65401439568011e-05
original_max_qubit_gate_count,0.0014710205078494213,0.0001116311765397132
t1_mean,0.0014076493320854203,9.52361392336311e-05
original_interaction_graph_density,0.0012084335586776468,3.289642579538152e-05
unique_two_qubit_edge_count,0.001178416614805753,4.961518468946557e-05
original_mean_qubit_two_qubit_gate_count,0.0011778988872767305,7.57070028109559e-05
interaction_graph_density,0.00103624537096001,4.9133157582176466e-05
num_cz,0.0010072112796617,6.063681622770067e-05
original_mean_interaction_degree,0.0006348825272353342,1.8349605224488e-05
active_qubit_fraction,0.0005539628957613946,5.319013374196885e-05
single_qubit_gate_error,0.0005342312539324936,0.00014309186979334407
mean_interaction_degree,0.0005305395735154721,2.6612312674286506e-05
max_interaction_degree,0.0004454498266785118,2.022223815660479e-05
original_max_interaction_degree,0.0002645966081803652,2.2172294791863626e-05
original_active_qubit_fraction,0.00010754810371580575,1.7024176392305613e-05
