feature,importance
qubit_count,0.23596543073654175
measurement_count,0.1729978322982788
long_range_interaction_score,0.09113234281539917
original_long_range_interaction_score,0.04735599458217621
coupling_path_length,0.045615650713443756
original_max_qubit_two_qubit_gate_count,0.040554605424404144
compiler_variant_transpiled,0.03385113552212715
original_num_single_qubit_gates,0.032702911645174026
compiler_variant_raw,0.03088812716305256
entanglement_density,0.028332259505987167
num_cx,0.026170002296566963
original_unique_two_qubit_edge_count,0.02181920036673546
original_entanglement_density,0.016838394105434418
max_qubit_gate_count,0.016559476032853127
mean_qubit_two_qubit_gate_count,0.013024904765188694
original_num_cx,0.011570263653993607
circuit_depth,0.010866595432162285
num_single_qubit_gates,0.010187027975916862
max_interaction_degree,0.009160501882433891
max_qubit_two_qubit_gate_count,0.00899781845510006
unique_two_qubit_edge_count,0.007688682060688734
original_num_cz,0.006880162749439478
readout_error,0.006760432850569487
local_readout_error_max,0.006618625950068235
mean_qubit_gate_count,0.005837905686348677
original_mean_qubit_gate_count,0.005584051366895437
original_circuit_depth,0.005537332966923714
original_mean_qubit_two_qubit_gate_count,0.00519289867952466
num_cz,0.005071686115115881
original_mean_interaction_degree,0.004381606820970774
interaction_graph_density,0.004237462766468525
original_max_interaction_degree,0.0035866086836904287
local_readout_error_mean,0.003439795458689332
t2_mean,0.0029681543819606304
original_max_qubit_gate_count,0.0028085317462682724
original_interaction_graph_density,0.0026151591446250677
local_t1_mean,0.002547957468777895
mean_interaction_degree,0.0023880298249423504
t1_mean,0.0023243948817253113
local_two_qubit_error_mean,0.0017981999553740025
active_qubit_fraction,0.0014942551497370005
two_qubit_gate_error,0.001416073297150433
original_active_qubit_fraction,0.0012385842856019735
local_t2_mean,0.0012021043803542852
local_two_qubit_error_max,0.0010460010962560773
single_qubit_gate_error,0.0007447690586559474
