feature,mean_abs_shap
qubit_count,0.07253834282989556
compiler_variant,0.01906313837662037
original_num_single_qubit_gates,0.017962129391791676
original_entanglement_density,0.017351757589361114
readout_error,0.01599337929042349
original_mean_qubit_gate_count,0.012392781392721191
long_range_interaction_score,0.010280416537767451
coupling_path_length,0.009301863289791072
entanglement_density,0.009279716786779317
measurement_count,0.0084945826900954
num_single_qubit_gates,0.008264920107481885
num_cx,0.006959964641535407
original_max_qubit_two_qubit_gate_count,0.006779381615262537
original_long_range_interaction_score,0.005614989835466304
original_unique_two_qubit_edge_count,0.005039192671636101
mean_qubit_gate_count,0.004696445291586315
two_qubit_gate_error,0.004628867990416893
original_mean_qubit_two_qubit_gate_count,0.00426145233043826
max_qubit_gate_count,0.004189048063619339
t2_mean,0.003810070710489526
mean_qubit_two_qubit_gate_count,0.0038058232095446558
circuit_depth,0.003551153067065286
interaction_graph_density,0.003398308796862693
t1_mean,0.0033086854439986838
local_readout_error_mean,0.0031918483538565853
original_num_cz,0.003150445589059018
original_circuit_depth,0.0027089633833921882
original_num_cx,0.002393636095404304
original_max_qubit_gate_count,0.0023402607498485394
local_two_qubit_error_mean,0.0021551888148060245
local_t1_mean,0.0021188196807452185
original_mean_interaction_degree,0.0020588560908638555
num_cz,0.0018840201885459464
single_qubit_gate_error,0.0018507126672084268
original_interaction_graph_density,0.001815386104300785
max_qubit_two_qubit_gate_count,0.0015744688061490705
local_t2_mean,0.0013072953048698537
unique_two_qubit_edge_count,0.0011464196491428992
local_readout_error_max,0.0010483116762035252
max_interaction_degree,0.0010377656217797266
mean_interaction_degree,0.0007485937294675295
original_max_interaction_degree,0.0006967648879858643
active_qubit_fraction,0.0005819727518239688
original_active_qubit_fraction,0.0004432074939882114
local_two_qubit_error_max,0.0002810882935777954
