family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
mixed_random,1562,150.61064866244814,36.606296169590166,0.09642167007839189,0.06248,0.15301034117133336,0.30448804224695614
decoherence_sensitive,2344,174.8230500577134,31.796867164558233,0.07458321248195965,0.09376,0.1776085208549623,0.26448362291746313
qft_lite,2284,79.66815662314654,11.397020649791571,0.034880979257069414,0.09136,0.08093751626234266,0.09479944348988803
measurement_sensitive,2140,94.69682433926411,11.097690013080465,0.04425085249498323,0.0856,0.09620563704275,0.0923096368420247
qaoa_like,2760,120.75123073009196,8.689782369304172,0.043750445916699986,0.1104,0.12267517054706402,0.07228086690124069
trotter_ising,2756,104.99562952674901,7.064274550393548,0.038097107956004725,0.11024,0.10666853398522273,0.05876003182018755
entanglement_heavy,2512,100.8172460871063,6.5473742290058015,0.04013425401556779,0.10048,0.1024235760003642,0.05446049913414308
clean_control,1270,41.81872884470091,3.3682914248511135,0.03292813294858339,0.0508,0.04248503027312542,0.02801716013329213
routing_sensitive,2436,49.77328206281829,1.93464058743054,0.02043238179918649,0.09744,0.05056632407657702,0.016092175023366243
mirror_circuit,2222,33.411294765464895,1.0488813170185336,0.015036586303089511,0.08888,0.0339436398185729,0.008724505131270096
ghz_cat,2714,32.95070355423581,0.6713240861208147,0.012141010889548935,0.10856,0.03347570996768546,0.005584016360168196
