feature,importance
mean_interaction_degree,0.0915189284077314
original_mean_interaction_degree,0.09151892840115594
num_single_qubit_gates,0.07099210356006179
original_num_single_qubit_gates,0.07099210352907209
unique_two_qubit_edge_count,0.061450757749888826
original_unique_two_qubit_edge_count,0.06145075774468113
original_mean_qubit_gate_count,0.04634148400678122
mean_qubit_gate_count,0.046341484004113725
interaction_graph_density,0.041463626690231514
original_interaction_graph_density,0.04146362668030365
mean_qubit_two_qubit_gate_count,0.03455909455543978
original_mean_qubit_two_qubit_gate_count,0.03455909455349885
original_max_qubit_gate_count,0.03333898533830989
max_qubit_gate_count,0.033338985318496696
max_qubit_two_qubit_gate_count,0.026840072715785653
original_max_qubit_two_qubit_gate_count,0.0268400727139891
circuit_depth,0.026099122329079478
original_circuit_depth,0.026099122309250683
readout_error,0.02578152064873773
original_num_cx,0.023836025877537807
num_cx,0.023836025871397253
long_range_interaction_score,0.020781088342390924
original_long_range_interaction_score,0.02078108832616981
max_interaction_degree,0.012711996224348402
original_max_interaction_degree,0.012711996220496883
num_cz,0.012443645506446265
original_num_cz,0.012443645488095704
qubit_count,0.009975378689427295
measurement_count,0.009975378650059388
two_qubit_gate_error,0.007418510934744925
entanglement_density,0.0048516915450775655
original_entanglement_density,0.0048516915181983766
t1_mean,0.003742381815714302
single_qubit_gate_error,0.002021976938798816
t2_mean,0.001990643515873293
original_active_qubit_fraction,0.00044528952068697734
active_qubit_fraction,0.00044528952065531495
