feature,mean_abs_shap
qubit_count,0.07606612296460662
original_entanglement_density,0.01922347694826203
measurement_count,0.018113436766063386
original_mean_qubit_gate_count,0.016456886246276555
max_qubit_gate_count,0.015465507697579596
original_max_qubit_two_qubit_gate_count,0.01421875789873593
original_mean_qubit_two_qubit_gate_count,0.013873811695795666
readout_error,0.013298005165313043
original_long_range_interaction_score,0.012870825150648215
original_num_single_qubit_gates,0.011859170013833137
num_single_qubit_gates,0.010202854980510892
original_unique_two_qubit_edge_count,0.010187163883063932
num_cx,0.0065422640261831476
entanglement_density,0.006313609185816858
original_interaction_graph_density,0.005513430459943493
mean_qubit_gate_count,0.0054524868679791325
two_qubit_gate_error,0.004981667728508001
original_num_cz,0.004774232561670942
circuit_depth,0.004434757239179817
original_circuit_depth,0.004284657588676964
long_range_interaction_score,0.003770387889984704
interaction_graph_density,0.003743746432181979
original_max_qubit_gate_count,0.0032291955091332623
local_readout_error_mean,0.003071477091738416
t2_mean,0.0030200116732794413
max_qubit_two_qubit_gate_count,0.002525561319758708
unique_two_qubit_edge_count,0.002440654853902288
t1_mean,0.0024150418155072656
original_num_cx,0.0019283433465561756
single_qubit_gate_error,0.0019265800778921402
mean_interaction_degree,0.0019135600279269057
mean_qubit_two_qubit_gate_count,0.001898879109155132
num_cz,0.0017428271735479939
original_mean_interaction_degree,0.0013158582439516521
original_active_qubit_fraction,0.001280750433637877
local_t1_mean,0.0011275707953645906
local_t2_mean,0.0010818250688785155
max_interaction_degree,0.0007938658450432286
active_qubit_fraction,0.0005464398998658453
original_max_interaction_degree,0.0004704967810691869
local_two_qubit_error_mean,0.0004183801722964517
local_two_qubit_error_max,0.0002606361862005997
local_readout_error_max,0.0002404895030742864
coupling_path_length,0.00019188993525465036
