feature,importance_mean,importance_std
qubit_count,0.049243771865218874,0.0006119919459081897
original_entanglement_density,0.02604063298404217,0.0005022664352318877
original_num_single_qubit_gates,0.018833801333606244,0.00040079820822302975
mean_qubit_gate_count,0.018748030696809297,0.00028673273704528775
original_mean_qubit_gate_count,0.018080271401302892,0.00040638689201833426
compiler_variant,0.01621986950002611,0.0005294280059772706
long_range_interaction_score,0.015140092632547024,0.0005023580325709785
readout_error,0.013524908212199808,0.0003084480400360119
num_single_qubit_gates,0.012399505407735708,0.00022433372099827677
measurement_count,0.012012636969238521,0.0002661199721112909
entanglement_density,0.007580535113811495,0.00029452488175621535
original_unique_two_qubit_edge_count,0.006224851007387043,0.0002599830697371019
max_qubit_gate_count,0.006046283665858212,0.00024107348442847567
num_cx,0.005118917797505857,0.0001083843012985896
original_mean_qubit_two_qubit_gate_count,0.004988762157037857,0.0002494694664775205
circuit_depth,0.004305690053850415,0.00016873154735391592
original_max_qubit_two_qubit_gate_count,0.004204232045449319,0.00016582374567375877
original_long_range_interaction_score,0.004109537006914618,0.00019930976519522814
original_num_cz,0.004076994915679102,0.00014040494732357956
original_max_qubit_gate_count,0.003289652680605653,0.00015136281524468019
original_circuit_depth,0.0029319729065522583,0.00015427561085472064
original_num_cx,0.002608141435869041,9.039907591664917e-05
mean_qubit_two_qubit_gate_count,0.0024898385386914034,9.420025455302112e-05
two_qubit_gate_error,0.002308098088949921,0.00016581689854437584
max_qubit_two_qubit_gate_count,0.0022205564562231325,7.057535453702927e-05
t1_mean,0.0021766946654766823,0.00012142574626306298
num_cz,0.002033020835742358,9.023928369225246e-05
original_mean_interaction_degree,0.0014366737915202992,5.471564067757946e-05
t2_mean,0.0013322415089234733,0.00013164498365464904
interaction_graph_density,0.0013202757116407187,6.289978744298981e-05
original_interaction_graph_density,0.0010843789819628023,0.0001105581402538063
single_qubit_gate_error,0.001070695008430633,8.669524706829037e-05
unique_two_qubit_edge_count,0.0007633373979479101,5.420140237398736e-05
active_qubit_fraction,0.0004976011160761143,6.458159742644937e-05
mean_interaction_degree,0.0004939125956967506,4.298081054039944e-05
original_active_qubit_fraction,0.0003777428610250381,4.176900577432597e-05
original_max_interaction_degree,0.0003087281435728093,3.39077146459707e-05
max_interaction_degree,0.00021765190493315805,3.893775980082128e-05
