split_name,ablation_name,model_name,slice_name,slice_value,sample_count,mae,rmse,r2
validation,both_without_local_features,xgboost_regressor,overall,overall,25000,0.039562710277438164,0.07016206782508418,0.8614919683246804
validation,both_without_local_features,xgboost_regressor,family,clean_control,1212,0.034626448680662086,0.053057225173505855,0.9027318330557491
validation,both_without_local_features,xgboost_regressor,family,decoherence_sensitive,2340,0.07925421894870252,0.12551804553722118,0.7667101250356471
validation,both_without_local_features,xgboost_regressor,family,entanglement_heavy,2554,0.0378186152890593,0.04799381666910577,0.9397839017593536
validation,both_without_local_features,xgboost_regressor,family,ghz_cat,2690,0.01165336082415953,0.014990818405654626,0.967311729884026
validation,both_without_local_features,xgboost_regressor,family,measurement_sensitive,2120,0.04931019963520878,0.08121173913826016,0.888320332358041
validation,both_without_local_features,xgboost_regressor,family,mirror_circuit,2176,0.015225398682934396,0.02200499212621159,0.8589964131494139
validation,both_without_local_features,xgboost_regressor,family,mixed_random,1568,0.09503841210080653,0.14502323895824257,0.5392397878146284
validation,both_without_local_features,xgboost_regressor,family,qaoa_like,2762,0.04323599577640641,0.05627776716686346,0.9281223377416149
validation,both_without_local_features,xgboost_regressor,family,qft_lite,2280,0.038474847866516365,0.07422357156045506,0.9018962157906504
validation,both_without_local_features,xgboost_regressor,family,routing_sensitive,2530,0.01732505025128602,0.02254798452816688,0.9148739864811711
validation,both_without_local_features,xgboost_regressor,family,trotter_ising,2768,0.034699484533657225,0.04535498808859844,0.8822119903444144
validation,both_without_local_features,xgboost_regressor,qubit_count,2,2560,0.017458017636090516,0.02605894250408794,0.6060887681589626
validation,both_without_local_features,xgboost_regressor,qubit_count,3,5436,0.04399859410182266,0.07927378302137679,0.5706573189961903
validation,both_without_local_features,xgboost_regressor,qubit_count,4,6254,0.040696275205153946,0.07382905581487645,0.7365009060818363
validation,both_without_local_features,xgboost_regressor,qubit_count,5,6106,0.039844370085002946,0.0693075834404404,0.8251286770290402
validation,both_without_local_features,xgboost_regressor,qubit_count,6,4644,0.044658623035743666,0.07151095098989455,0.8652621198153216
validation,both_without_local_features,xgboost_regressor,compiler_variant,raw,12500,0.0270084406375885,0.03804304641206919,0.9244261159393765
validation,both_without_local_features,xgboost_regressor,compiler_variant,transpiled,12500,0.05211697991728783,0.09164146519274216,0.8264660569702549
validation,both_without_local_features,xgboost_regressor,difficulty_bucket,q1,6982,0.03645680392328015,0.07500550516502752,0.7139965398224466
validation,both_without_local_features,xgboost_regressor,difficulty_bucket,q2,5948,0.038054033617846664,0.07030818366733987,0.870280496844939
validation,both_without_local_features,xgboost_regressor,difficulty_bucket,q3,6368,0.03826005915273449,0.06440649581247929,0.8949099637710519
validation,both_without_local_features,xgboost_regressor,difficulty_bucket,q4,5702,0.04639440605051682,0.07003815419942384,0.8826739677529458
test,both_without_local_features,xgboost_regressor,overall,overall,25000,0.038405574655532834,0.06746183532080433,0.8667849968083633
test,both_without_local_features,xgboost_regressor,family,clean_control,1270,0.03438084266317172,0.05137502006028182,0.8985885467237259
test,both_without_local_features,xgboost_regressor,family,decoherence_sensitive,2344,0.07457642033124032,0.11595540839586302,0.7788307278559604
test,both_without_local_features,xgboost_regressor,family,entanglement_heavy,2512,0.03839222510244436,0.048933877650746964,0.9372221618718428
test,both_without_local_features,xgboost_regressor,family,ghz_cat,2714,0.010957910435640733,0.014215667675928616,0.9718940482449658
test,both_without_local_features,xgboost_regressor,family,measurement_sensitive,2140,0.044312458732557077,0.07160785668897234,0.909145223718449
test,both_without_local_features,xgboost_regressor,family,mirror_circuit,2222,0.015100260504079659,0.021658855517032092,0.8693974140164129
test,both_without_local_features,xgboost_regressor,family,mixed_random,1562,0.09444263594632875,0.145765626166618,0.5628546143067177
test,both_without_local_features,xgboost_regressor,family,qaoa_like,2760,0.0423196311014286,0.05508241050085457,0.9235397460932375
test,both_without_local_features,xgboost_regressor,family,qft_lite,2284,0.03604045934361877,0.07027732898946741,0.9138842751815802
test,both_without_local_features,xgboost_regressor,family,routing_sensitive,2436,0.016987850855919723,0.02220158845737436,0.9143279355693389
test,both_without_local_features,xgboost_regressor,family,trotter_ising,2756,0.03595271953131533,0.047757119670790875,0.8739269109814755
test,both_without_local_features,xgboost_regressor,qubit_count,2,2590,0.018297354986308623,0.028126237942024464,0.5775977274403601
test,both_without_local_features,xgboost_regressor,qubit_count,3,5526,0.042644438059097865,0.0752276385444899,0.5915463335196186
test,both_without_local_features,xgboost_regressor,qubit_count,4,6140,0.03965463462840851,0.07131067414896851,0.7457370345831205
test,both_without_local_features,xgboost_regressor,qubit_count,5,6180,0.0380118747262893,0.064920522359057,0.8408613669579247
test,both_without_local_features,xgboost_regressor,qubit_count,6,4564,0.043537074897526444,0.0712754005529798,0.8610534844076669
test,both_without_local_features,xgboost_regressor,compiler_variant,raw,12500,0.026884423031806947,0.03797280697647818,0.9210184745909605
test,both_without_local_features,xgboost_regressor,compiler_variant,transpiled,12500,0.049926726279258725,0.08752293630831735,0.8357498760563384
test,both_without_local_features,xgboost_regressor,difficulty_bucket,q1,7038,0.03517292912506387,0.07288665835641439,0.7285789846400563
test,both_without_local_features,xgboost_regressor,difficulty_bucket,q2,5896,0.036410869498518544,0.06664187260431048,0.8824646094806401
test,both_without_local_features,xgboost_regressor,difficulty_bucket,q3,6510,0.037399805689691215,0.062013739765718945,0.8989228695700782
test,both_without_local_features,xgboost_regressor,difficulty_bucket,q4,5556,0.04579572887022432,0.06730418232953539,0.883634198172606
