family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
decoherence_sensitive,1172,295.74862462890627,108.2256602485217,0.25234524285742854,0.09376,0.1361641432977193,0.1856348048533627
qft_lite,1142,310.30240673828126,106.1304957285059,0.27171839469201514,0.09136,0.14286477724031593,0.18204105956305264
measurement_sensitive,1070,263.1167185351563,93.6285046818062,0.2459034752665012,0.0856,0.12114025081807595,0.1605969338085573
qaoa_like,1380,239.63020841796876,60.33113303800947,0.17364507856374548,0.1104,0.11032694430423229,0.10348338908143673
mixed_random,781,183.49054231445314,58.57453290175199,0.234943075946803,0.06248,0.08447996175411267,0.10047036866880309
entanglement_heavy,1256,208.89254279296875,47.91225643938269,0.16631571878421078,0.10048,0.09617516959335572,0.08218182595315296
trotter_ising,1378,172.05516001953126,28.857194653771543,0.12485860669051616,0.11024,0.07921505465463344,0.04949750073935496
clean_control,635,119.61019002929689,26.896267123440197,0.18836250398314472,0.0508,0.05506912864075844,0.04613400636483468
mirror_circuit,1111,152.97474090820316,24.552448667915744,0.13769103592097495,0.08888,0.0704303344372009,0.042113755708900844
ghz_cat,1357,136.4109016308594,18.423735940171333,0.10052387739930685,0.10856,0.06280426013930479,0.03160143923418852
routing_sensitive,1218,89.76873794921876,9.47083583709657,0.07370175529492509,0.09744,0.04132997512029052,0.016244916024355422
