feature,importance_mean,importance_std
mean_interaction_degree,0.35618154615034536,0.00274412688779385
unique_two_qubit_edge_count,0.21973799544606792,0.002141679244554684
original_mean_interaction_degree,0.1698252794828615,0.0015950513996701753
original_num_single_qubit_gates,0.15064334347380284,0.0019103817093515918
original_unique_two_qubit_edge_count,0.12149757232471925,0.0019433417103225565
original_mean_qubit_two_qubit_gate_count,0.1133553662479714,0.002080944194947245
interaction_graph_density,0.1046220463172658,0.0013985207490995004
original_mean_qubit_gate_count,0.08369965147508185,0.001064349017470984
max_qubit_two_qubit_gate_count,0.08267979742371656,0.0007557884173368662
num_cz,0.08253404499217448,0.001032088115206802
original_num_cz,0.07451504929747611,0.001026371188460455
circuit_depth,0.04570982254198838,0.000811465364729562
long_range_interaction_score,0.03535769240910532,0.00044241163830151443
num_cx,0.03318819534980847,0.0004528925013552483
num_single_qubit_gates,0.031071113444631104,0.0006453313005011719
original_interaction_graph_density,0.02284822359321189,0.000340655997213551
mean_qubit_gate_count,0.020734122864189092,0.000270143955014396
original_circuit_depth,0.016033880709995386,0.0003258240169169561
original_max_interaction_degree,0.015556759602875727,0.0005837595570370083
original_num_cx,0.013052181935169679,0.0003569298613242621
original_entanglement_density,0.011513826496569665,0.0003904295782156778
measurement_count,0.00835363711827882,0.0001682476034007216
qubit_count,0.00835363708089985,0.000168247602743176
original_max_qubit_gate_count,0.008204812445492394,0.00028249054014615885
active_qubit_fraction,0.007741933823650722,0.00031223824153385173
mean_qubit_two_qubit_gate_count,0.006815146180716089,0.0002383354759926171
readout_error,0.0067496028236262665,0.00016672541455500258
original_max_qubit_two_qubit_gate_count,0.006271738634707006,0.00016331598201871104
original_long_range_interaction_score,0.005756155682556758,0.0001613327122057405
entanglement_density,0.005700963116910625,0.00020452606879183091
max_interaction_degree,0.0014231725079341378,0.00012328829135927643
max_qubit_gate_count,0.001392399745445718,0.00011287263353434556
two_qubit_gate_error,0.0007044701526056334,7.24965404467568e-05
original_active_qubit_fraction,0.0006179741055339621,4.698207086728105e-05
t1_mean,0.00014725113658830072,3.1147901668511785e-05
t2_mean,0.00012208180359921626,2.320320662546489e-05
single_qubit_gate_error,6.449246908847572e-05,1.637212133596619e-05
