experiment_family,run_root,run_name,run_directory,dataset_path,dataset_name,cleaned_dataset_path,feature_set_name,prediction_context,target_kind,selection_scope,subset_column,subset_value,tuning_applied,source_table,model_name,model_display_name,validation_macro_f1,validation_accuracy,test_macro_f1,test_accuracy,validation_r2,test_r2,validation_mae,test_mae,validation_feature_columns_before_encoding,test_feature_columns_before_encoding,best_params,is_best_validation_in_scope,is_best_test_in_scope
classification_global,model_benchmark,20260313_203601,experiments/model_benchmark/20260313_203601,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203601/model_comparison.csv,xgboost,XGBoost,0.4993831318861998,0.499566522174058,0.5134407501117548,0.5137027405481096,,,,,8.0,8.0,,True,True
classification_global,model_benchmark,20260313_203623,experiments/model_benchmark/20260313_203623,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,topology_aware,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203623/model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3342656721719055,0.5021007002334111,0.3342655480090558,0.5021004200840168,,,,,12.0,12.0,,False,False
classification_global,model_benchmark,20260313_203623,experiments/model_benchmark/20260313_203623,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,topology_aware,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203623/model_comparison.csv,logistic_regression,Logistic Regression,0.4833276015524396,0.5063021007002334,0.4708190445435052,0.4942988597719543,,,,,12.0,12.0,,False,False
classification_global,model_benchmark,20260313_203623,experiments/model_benchmark/20260313_203623,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,topology_aware,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203623/model_comparison.csv,random_forest,Random Forest,0.4964601965051332,0.5004334778259419,0.4924227373677171,0.4972994598919784,,,,,12.0,12.0,,False,False
classification_global,model_benchmark,20260313_203623,experiments/model_benchmark/20260313_203623,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,topology_aware,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203623/model_comparison.csv,xgboost,XGBoost,0.4999126329598579,0.5001667222407469,0.501352663763936,0.5017003400680136,,,,,12.0,12.0,,True,True
classification_global,model_benchmark,20260313_203639,experiments/model_benchmark/20260313_203639,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203639/model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3342656721719055,0.5021007002334111,0.3342655480090558,0.5021004200840168,,,,,19.0,19.0,,False,False
classification_global,model_benchmark,20260313_203639,experiments/model_benchmark/20260313_203639,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203639/model_comparison.csv,logistic_regression,Logistic Regression,0.4973517090305117,0.5081027009003001,0.4914387348592895,0.5031006201240248,,,,,19.0,19.0,,False,False
classification_global,model_benchmark,20260313_203639,experiments/model_benchmark/20260313_203639,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203639/model_comparison.csv,random_forest,Random Forest,0.4993337327379184,0.502434144714905,0.4971335715978392,0.5007001400280056,,,,,19.0,19.0,,True,True
classification_global,model_benchmark,20260313_203639,experiments/model_benchmark/20260313_203639,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_203639/model_comparison.csv,xgboost,XGBoost,0.4968342226093446,0.4970990330110036,0.4943622323948399,0.4946989397879576,,,,,19.0,19.0,,False,False
classification_global,model_benchmark,20260313_204849,experiments/model_benchmark/20260313_204849,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_204849/model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3342656721719055,0.5021007002334111,0.3342655480090558,0.5021004200840168,,,,,8.0,8.0,,False,False
