feature,importance
mean_interaction_degree,0.32674857858644113
original_num_single_qubit_gates,0.2155263223203813
unique_two_qubit_edge_count,0.21364733669362873
original_mean_qubit_gate_count,0.1916090332559447
original_mean_qubit_two_qubit_gate_count,0.16653905608282366
original_mean_interaction_degree,0.1506659562377947
original_unique_two_qubit_edge_count,0.11680843212119195
num_cz,0.1139992551896153
original_num_cz,0.11050804736966169
max_qubit_two_qubit_gate_count,0.10971004108840807
interaction_graph_density,0.10334013019085189
num_single_qubit_gates,0.08778517370773865
circuit_depth,0.08682901813986507
num_cx,0.06523551076263052
original_max_qubit_gate_count,0.061872398534111604
long_range_interaction_score,0.05389187764891401
original_max_qubit_two_qubit_gate_count,0.04836243767195718
original_circuit_depth,0.04835562731556651
original_max_interaction_degree,0.047120796210823754
max_qubit_gate_count,0.046907403923670384
mean_qubit_gate_count,0.04158930473633039
active_qubit_fraction,0.037856943804525686
original_num_cx,0.03344185199941754
original_entanglement_density,0.029924221467307433
measurement_count,0.028383164779575105
qubit_count,0.028383164749079395
readout_error,0.02589452472803918
original_interaction_graph_density,0.023181814072256786
compiler_variant_transpiled,0.0224678479930323
compiler_variant_raw,0.022467847987966385
entanglement_density,0.020067280283308328
coupling_path_length,0.01534574602073623
original_long_range_interaction_score,0.013987841567662947
original_active_qubit_fraction,0.01002634197160216
two_qubit_gate_error,0.007302220768113565
max_interaction_degree,0.00486397806976781
mean_qubit_two_qubit_gate_count,0.004421288240087006
t1_mean,0.004228354236414899
local_t1_mean,0.002156462732575404
single_qubit_gate_error,0.0017834302986821345
t2_mean,0.001505482581076762
local_readout_error_mean,0.0012773077102746716
local_readout_error_max,0.0012773077094153814
local_t2_mean,0.0011706451800528824
local_two_qubit_error_mean,2.441612315887877e-05
local_two_qubit_error_max,2.441606277489639e-05
