feature,mean_abs_shap
qubit_count,0.05190591190822306
readout_error,0.020393523098024616
measurement_count,0.01744602237471554
original_num_single_qubit_gates,0.01334444019485818
original_unique_two_qubit_edge_count,0.011426953791096822
original_entanglement_density,0.006960318252369689
two_qubit_gate_error,0.005749823971360456
original_num_cx,0.005530929662223116
original_num_cz,0.00548803623873755
original_mean_interaction_degree,0.0051359533703078455
num_single_qubit_gates,0.004380809531534397
t1_mean,0.00436024021110643
original_circuit_depth,0.0031403178491673316
original_mean_qubit_gate_count,0.0029493579668524034
t2_mean,0.0029045628947678777
entanglement_density,0.0025428435366457052
original_mean_qubit_two_qubit_gate_count,0.0025014367961712198
original_interaction_graph_density,0.002104594209868992
original_max_qubit_gate_count,0.0016962048861241784
single_qubit_gate_error,0.0015572860948946073
original_long_range_interaction_score,0.0014778091871206697
num_cx,0.001365623751669773
original_max_qubit_two_qubit_gate_count,0.0012377483950695024
mean_qubit_two_qubit_gate_count,0.0010221192941112349
num_cz,0.0007836520486798691
mean_qubit_gate_count,0.0006205094726434481
interaction_graph_density,0.0006140975429962055
max_qubit_gate_count,0.0005794561245363639
unique_two_qubit_edge_count,0.0005629232612437249
circuit_depth,0.000535876715074437
max_qubit_two_qubit_gate_count,0.0004079303523856197
long_range_interaction_score,0.00035868596836860435
mean_interaction_degree,0.00031612374940596054
original_max_interaction_degree,0.0002853791445236311
original_active_qubit_fraction,0.00013003970662151687
max_interaction_degree,4.636977143923105e-05
active_qubit_fraction,3.1192685743942406e-05
