feature,importance_mean,importance_std
mean_interaction_degree,0.4330326100447777,0.0036192170099104345
original_mean_interaction_degree,0.343048729676882,0.0033725587448368986
original_unique_two_qubit_edge_count,0.33146755905985886,0.0032434345849224927
original_mean_qubit_two_qubit_gate_count,0.18221427464064627,0.0015140261890956403
mean_qubit_gate_count,0.13686882219720853,0.0012991024144865906
coupling_path_length,0.1347202653010232,0.0019283339136296881
unique_two_qubit_edge_count,0.1347202652970984,0.0019283339135993721
interaction_graph_density,0.11029864246766377,0.0007596233786300277
original_max_qubit_two_qubit_gate_count,0.10168544023397347,0.001279790507928012
original_mean_qubit_gate_count,0.09620668828783503,0.000822505678099014
max_qubit_two_qubit_gate_count,0.09075467251070939,0.0011967219480266613
original_max_qubit_gate_count,0.09022821864413592,0.0011812046025818507
original_num_cz,0.08316952350175205,0.0016881828134722309
num_single_qubit_gates,0.07659064354624646,0.0013586425770776157
circuit_depth,0.070882910743892,0.0006680865706718553
num_cz,0.06193543098471583,0.000905614291892285
original_interaction_graph_density,0.06076466782808171,0.001107420139217592
mean_qubit_two_qubit_gate_count,0.060331833265925096,0.0007139019490309689
num_cx,0.058118436540841104,0.0007005151948049276
original_num_cx,0.05279183542084824,0.0007724929283760445
max_qubit_gate_count,0.03078457019669831,0.0006689261515570551
original_num_single_qubit_gates,0.028752710587463363,0.0005345915391364356
original_max_interaction_degree,0.02226673219262256,0.0007281754009305757
measurement_count,0.021446330792733052,0.0004121712692746038
qubit_count,0.02144633075482171,0.00041217126896458896
active_qubit_fraction,0.018295335215421715,0.0006374954523819812
max_interaction_degree,0.008161233537975803,0.00039706601792178256
long_range_interaction_score,0.007259872373228754,0.00026821915177915016
original_long_range_interaction_score,0.004951880500674325,0.00012369260148976214
original_entanglement_density,0.0035559224518614974,0.0002829112299455132
local_readout_error_mean,0.0010679141762638643,8.822517162504094e-05
local_readout_error_max,0.0010679141761235304,8.82251716165185e-05
readout_error,0.001067914175191656,8.822517155991987e-05
original_circuit_depth,0.0008736534051690635,0.0002104594775279676
original_active_qubit_fraction,0.00021326193594469432,6.988612209619555e-05
two_qubit_gate_error,0.00018966752644030554,4.678103505716867e-05
local_two_qubit_error_mean,0.00018966752640790785,4.6781035051909175e-05
local_two_qubit_error_max,0.00018966752639297708,4.678103504948228e-05
entanglement_density,0.00018400833846339733,4.112218067244826e-05
t2_mean,0.00011947424904145548,2.3867554310611775e-05
local_t2_mean,0.00011947424820038868,2.3867554168133464e-05
single_qubit_gate_error,8.445741268812978e-05,2.7678845681564326e-05
t1_mean,3.431093921205455e-05,8.238776131715073e-06
local_t1_mean,3.4310938636088195e-05,8.23877600353881e-06
