family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
qft_lite,1142,209.35585857084587,51.792916177791795,0.18332386915135365,0.09136,0.1819383509039508,0.2392397603688674
measurement_sensitive,1070,154.08829727991431,39.28992267867853,0.14400775446720965,0.0856,0.13390869924577944,0.18148643444388382
mixed_random,781,127.89531371343504,36.92605761500803,0.16375840424255447,0.06248,0.11114598189040686,0.17056736378496307
decoherence_sensitive,1172,161.59623897106567,36.88475786902634,0.137880749975312,0.09376,0.14043339141009664,0.1703765936553562
clean_control,635,80.69903947913966,15.532144202108544,0.1270851015419522,0.0508,0.07013059134143612,0.07174545731642891
qaoa_like,1380,79.9181194388732,7.652586488153303,0.05791168075280667,0.1104,0.06945194157598977,0.03534852046838127
routing_sensitive,1218,79.62323358424068,7.574094227315603,0.0653721129591467,0.09744,0.06919567434533767,0.034985952166392636
trotter_ising,1378,74.17423879638527,6.248079516408818,0.05382745921363227,0.11024,0.06446028679729275,0.028860878216241913
entanglement_heavy,1256,70.16296022692674,5.8845321524068614,0.05586222948003722,0.10048,0.060974330335765416,0.027181594818720935
mirror_circuit,1111,63.57635078472132,5.652663461874783,0.05722443815006419,0.08888,0.05525031158537672,0.02611055626646959
ghz_cat,1357,49.60704136185479,3.0518295246030136,0.03655640483555991,0.10856,0.04311044056856781,0.014096888494294248
