family,sample_count,total_absolute_error,total_squared_error,mean_absolute_error,sample_fraction,absolute_error_fraction,squared_error_fraction
mixed_random,781,122.31615452076714,33.41035979818546,0.1566147945208286,0.06248,0.19626785610805597,0.34106634109627926
decoherence_sensitive,1172,137.2700351096723,29.135762643416566,0.11712460333589787,0.09376,0.2202627739926105,0.2974295404139719
qft_lite,1142,65.19644003301471,11.294989138253497,0.057089702305617086,0.09136,0.10461386364942253,0.11530377527737846
measurement_sensitive,1070,64.72975303078026,9.408427715918192,0.06049509629044884,0.0856,0.10386502014824378,0.09604500029093727
qaoa_like,1380,63.369710590664745,4.925305064623237,0.04592008013816286,0.1104,0.10168270322548506,0.050279487779274226
trotter_ising,1378,49.68746879138379,3.2056625780416024,0.03605766965993018,0.11024,0.07972825023259791,0.032724688177147236
entanglement_heavy,1256,49.0553141963441,3.1291828377281705,0.0390567788187453,0.10048,0.07871389830514068,0.03194395234088987
clean_control,635,21.354654479286342,2.127495689003239,0.033629377132734395,0.0508,0.034265565893556824,0.021718328528322256
mirror_circuit,1111,14.32535038905406,0.4980914001217014,0.012894104760624716,0.08888,0.022986381642491747,0.005084716608776477
routing_sensitive,1218,19.267588307647355,0.49144730878968246,0.015819038019414904,0.09744,0.030916670527542964,0.005016891062023632
ghz_cat,1357,16.637856206675092,0.33181283896880664,0.012260763601087025,0.10856,0.026697016274852003,0.003387278424999366
