feature,importance
measurement_count,0.46074220538139343
qubit_count,0.17289824783802032
long_range_interaction_score,0.07210705429315567
original_long_range_interaction_score,0.03839066997170448
max_qubit_two_qubit_gate_count,0.030410360544919968
original_num_single_qubit_gates,0.027873173356056213
num_cx,0.024773119017481804
entanglement_density,0.021783119067549706
original_unique_two_qubit_edge_count,0.015627115964889526
max_qubit_gate_count,0.014547018334269524
original_entanglement_density,0.013772611506283283
original_max_qubit_two_qubit_gate_count,0.011591874063014984
num_single_qubit_gates,0.008971062488853931
original_num_cx,0.008418368175625801
unique_two_qubit_edge_count,0.00649823434650898
original_mean_qubit_gate_count,0.005835850723087788
original_mean_qubit_two_qubit_gate_count,0.0057224091142416
original_num_cz,0.0057037509977817535
original_circuit_depth,0.005315067712217569
readout_error,0.005285038612782955
mean_qubit_two_qubit_gate_count,0.00522340415045619
mean_qubit_gate_count,0.005060074385255575
circuit_depth,0.004576676990836859
original_mean_interaction_degree,0.0045381770469248295
num_cz,0.0031549884006381035
interaction_graph_density,0.002821610076352954
original_interaction_graph_density,0.0024565188214182854
original_max_interaction_degree,0.002321901498362422
t1_mean,0.002187680220231414
active_qubit_fraction,0.0020394204184412956
original_max_qubit_gate_count,0.0020075628999620676
max_interaction_degree,0.0018021746072918177
original_active_qubit_fraction,0.0013178372755646706
t2_mean,0.0013157232897356153
mean_interaction_degree,0.0012124115601181984
two_qubit_gate_error,0.0011709757382050157
single_qubit_gate_error,0.0005264414940029383
